txn_date,txn_description,deposit_amount
03/08/2017,ACH/VIP Industries Limit/37867                    ,9.6
03/08/2017,ACH/EIH Ltd./44302                                ,7.2
03/08/2017,ACH/ACCLTD/64788                                  ,11
04/08/2017,ACH/EMAMI LTD/18967                               ,5.25
04/08/2017,ACH/COROMANDEL INTERNAT/2150827                   ,15
05/08/2017,ACH/LUPIN LIMITED/000000000000000000000000121247  ,45
07/08/2017,ACH/MAHINDRA AND MAHINDR/10451478                 ,13
07/08/2017,ACH/TRENT07082017/LA00040438IN30267934786175      ,4
09/08/2017,ACH/BRITANNIA INDUSTRIES/1158308                  ,22
10/08/2017,ACH/DIVIDEND/TI00743942IN30267934786175           ,110
10/08/2017,ACH/Ambuja Cements Limit/174651                   ,8
10/08/2017,ACH/CRISIL LIMITED/4820193                        ,6
10/08/2017,ACH/HSIL LTD./15546                               ,12
10/08/2017,ACH/JK TYRE AND INDUSTRI/000000000000000000000000 ,17.5
11/08/2017,CMS/ICICI PRU/DIV 2016-17 2076159                 ,11
11/08/2017,ACH/BALKRISHNAINDUSTRIES/1314854                  ,2.5
11/08/2017,"ACH/ICRA Limited,/13113                           ",27
11/08/2017,ACH/TCL FINAL 110817/CH00170045IN30267934786175   ,22
11/08/2017,ACH/CEAT DIV 110817/CY00053598IN30267934786175    ,11.5
11/08/2017,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,12
11/08/2017,ACH/Monsanto India Limit/17171                    ,15
11/08/2017,ACH/TITAN FINDIV 2017/WA00091796IN30267934786175  ,5.2
14/08/2017,ACH/Adani Enterprises Li/68855                    ,4
14/08/2017,"ACH/Nilkamal Limited,/14487                       ",7
14/08/2017,"ACH/Sobha Limited,/46126                          ",7.5
14/08/2017,ACH/VST FIN DIV 2016-17/IN30267934786175          ,15
16/08/2017,ACH/Asahi India Glass Li/47194                    ,4
16/08/2017,ACH/CIPLA LIMITED/3963105                         ,4
16/08/2017,ACH/NESTLE INDIA LTD./000000000000000000000000056 ,15
17/08/2017,ACH/Page Industries Limi/33620                    ,25
17/08/2017,ACH/AVANTI FEEDS LIMITED/1916895                  ,9
17/08/2017,ACH/DABUR INDIA LIMITED/3509603                   ,4
18/08/2017,ACH/THOMAS COOK DIV/CK00042661IN30267934786175    ,1.88
18/08/2017,ACH/BERGER PAINTS INDIA/67200                     ,7
21/08/2017,ACH/AMR FIN DIV 2017/017973                       ,4.25
21/08/2017,ACH/TGBL DIV.210817/TA00157668IN30267934786175    ,16.45
22/08/2017,ACH/LICHOUSINGFINANCELTD/War157948IN3026793478617 ,12
23/08/2017,ACH/TTK PRESTIGE LIMITED/1715455                  ,12
24/08/2017,ACH/CARE RATINGS LTD/2636526                      ,10
24/08/2017,ACH/TATA POWERFINALDIV/PO00248174IN30267934786175 ,16.9
24/08/2017,ACH/LARSEN & TOUBRO LTD/6246150                   ,84
24/08/2017,ACH/MOTHERSON SUMI SYSTE/1488563                  ,8
25/08/2017,ACH/Greenlam Industries/3983                      ,1.5
28/08/2017,ACH/THE INDIAN HOTELS CO/000000000000000000000000 ,16.1
28/08/2017,ACH/VARUN BEVERAGES LTD/525771                    ,5
28/08/2017,ACH/BAYER DIV 280817/B100043096IN30267934786175   ,17
29/08/2017,ACH/AKZO NOBEL INDIA LTD/30792                    ,22
30/08/2017,ACH/KAJARIA CERAMICS LIM/000000000000000000000000 ,6
01/09/2017,ACH/Cummins India Limite/54318                    ,9
01/09/2017,ACH/VOLTAS FIN DIV/VO00090350IN30267934786175     ,7
01/09/2017,ACH/Jubliant Foodworks L/22968                    ,2.5
01/09/2017,ACH/INTERGLOBE AVIATION/639127                    ,34
01/09/2017,ACH/Future Lifestyle Fas/34862                    ,2.4
04/09/2017,ACH/Puravankara Projects/24284                    ,36
04/09/2017,ACH/PIDILITE FIN DIV/PL00073970IN30267934786175   ,9.5
04/09/2017,ACH/INDIAN OIL CORPN/5164157                      ,3
06/09/2017,ACH/NCC LIMITED/1562685                           ,4.8
08/09/2017,ACH/CENTURY PLYBOARDS (I/12679                    ,4
11/09/2017,ACH/MARUTI SUZUKI INDIA/2555155                   ,75
13/09/2017,ACH/CASTROLINTDIV13917/CR00109899IN30267934786175 ,9
13/09/2017,ACH/BALKRISHNAINDUSTRIES/1415985                  ,2.5
18/09/2017,ACH/CARE RATINGS LTD/2736600                      ,6
18/09/2017,ACH/HINDALCO INDUSTRIES/IN30267934786175-         ,9.9
19/09/2017,ACH/HINDUSTAN PETROLEUM/153130                    ,2.2
22/09/2017,ACH/Whirlpool Of India L/36091                    ,3
25/09/2017,ACH/ENGINEERS INDIA LTD/3550026                   ,4
26/09/2017,ACH/RELAXO FOOTWEARS LTD/1509088                  ,2
28/09/2017,ACH/APOLLO HOSPITALS ENT/IN30267934786175         ,30
28/09/2017,ACH/MOTHERSON SUMI SYSTE/1546027                  ,153.5
29/09/2017,ACH/Sun Pharmaceutical I/551363                   ,52.5
29/09/2017,ACH/NTPC LIMITED/25488697                         ,78.12
03/10/2017,ACH/OIL AND NATURAL GAS/0000000000000000000000005 ,15
03/10/2017,ACH/GAIL (INDIA) LTD./000000000000000000000000107 ,8.1
03/10/2017,ACH/GLENMARK PHARMA/1901665                       ,4
03/10/2017,ACH/PETRONET LNG LTD/5528649                      ,13
03/10/2017,ACH/BASFDIV031017/B900039257IN30267934786175      ,1
04/10/2017,ACH/Talwalkars Better Va/17733                    ,6
04/10/2017,ACH/BRIGADE/1242262                               ,10
04/10/2017,ACH/POWER GRID CORPORATI/22511545                 ,97
05/10/2017,ACH/CONTAINER CORPORATIO/CN13091729654            ,7.5
05/10/2017,ACH/ITDC LTD/1504483                              ,2.66
06/10/2017,"ACH/Zee Learn Ltd,/81331                          ",1.25
07/10/2017,ACH/DLF LIMITED/9263021                           ,12
07/10/2017,ACH/Prestige Estates Pro/9351                     ,4.8
09/10/2017,ACH/RURAL ELETRIFICATION/5938305                  ,16
10/10/2017,ACH/OIL INDIA LTD/5394142                         ,19
11/10/2017,ACH/COX AND KINGS LTD/821307                      ,4
13/10/2017,ACH/RAJESH EXPO DIV17/17121306                    ,2
16/10/2017,ACH/NBCC (INDIA) LIMITED/NBN/FIN/2017/077111      ,5.5
17/10/2017,ACH/UBL FIN DIV 2016-17/IN30267934786175          ,1.15
20/10/2017,ACH/NMDC LIMITED/0000004774672                    ,10
01/11/2017,ACH/TCS INTDIV 011117/C200493542IN30267934786175  ,56
03/11/2017,ACH/ASIANPAINTSDIV1718/AN00165776IN30267934786175 ,18.55
04/11/2017,CMS/INFOSYS/INT DIV17-18 14281696                 ,143
06/11/2017,CMS/ICICI LOMBARD/INT DIV18 1095119               ,2
07/11/2017,ACH/INDIABULLS HOUSING/3649944                    ,9
08/11/2017,ACH/EXIDE INDUSTRIES LIM/109369                   ,8
09/11/2017,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,12
10/11/2017,ACH/OIL AND NATURAL GAS/0000000000000000000000005 ,57
10/11/2017,ACH/HINDUSTAN ZINC LTD/02112017*050732            ,10
10/11/2017,ACH/Colgate-Palmolive (I/153593                   ,4
10/11/2017,ACH/CRISIL LIMITED/4919907                        ,6
10/11/2017,ACH/TUBE INVESTMENTS  OF/5018284                  ,4
10/11/2017,ACH/SUPREME INDUSTRIES L/SU2/INT/2018/N29012      ,3
14/11/2017,ACH/TVS MOTOR COMPANY L/N17060541633              ,8
14/11/2017,ACH/HINDUSTAN UNILEVER/14758483                   ,48
15/11/2017,ACH/Info-Edge India Limi/12993                    ,5
20/11/2017,CMS/STFC/INTERIM DIVIDEND 17-18                   ,5
20/11/2017,CMS/ICICI PRU/INT DIV17-18 2576269                ,20
21/11/2017,ACH/BALKRISHNA INDUSTRIS/1516283                  ,2.5
22/11/2017,"ACH/Nilkamal Limited,/17429                       ",4
22/11/2017,ACH/GODREJ CONSUMER PROD/45507                    ,1
22/11/2017,ACH/DABUR INDIA LTD/3605218                       ,5
23/11/2017,ACH/POWER FINANCE CORPOR/5803746                  ,102
27/11/2017,ACH/GILLETTE INDIA LIMIT/IN30267934786175         ,10
28/11/2017,ACH/Procter & Gamble Hyg/25861                    ,27
29/11/2017,"ACH/Marico Limited,/53855                         ",7
30/11/2017,ACH/AMR INT1 DIV 2018/020512                      ,2
30/11/2017,ACH/AUROBINDO PHARMA LTD/4448473                  ,3
04/12/2017,ACH/Dr. Lal PathLabs Lim/44569                    ,1.5
07/12/2017,ACH/The New India Assura/99348                    ,7.5
11/12/2017,ACH/CARE RATINGS LIMITED/2836023                  ,6
20/12/2017,ACH/Monsanto India Limit/16830                    ,15
22/12/2017,ACH/NESTLE INDIA LTD./000000000000000000000000054 ,33
28/12/2017,ACH/HDFC STANDARD LIFE/1283583                    ,4.08
29/12/2017,ACH/Colgate-Palmolive (I/153651                   ,4
30/01/2018,ACH/GAIL (INDIA) LTD./000000000000000000000000103 ,38.25
31/01/2018,CMS/TCS/3RD INTERIM DIV 31012018                  ,56
05/02/2018,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,12
05/02/2018,ACH/BHARTI AIRTEL LIMITE/5142890                  ,76.68
05/02/2018,ACH/WIPRO LIMITED/8398734                         ,22
08/02/2018,ACH/INDIANULLS HOUSING/3748822                    ,14
09/02/2018,ACH/SIEMENS FINDIV2017/SN00100504IN30267934786175 ,14
09/02/2018,ACH/VIP Industries Limit/41399                    ,9
14/02/2018,ACH/CONTAINER CORPORATIO/CN07021832133            ,9.6
14/02/2018,ACH/INDIAN OIL CORPN/5499754                      ,114
15/02/2018,ACH/NTPC LIMITED/000000000000000000000000499759   ,114.66
15/02/2018,ACH/POWERGRID CORPORATIO/23501477                 ,71
16/02/2018,ACH/Info-Edge India Limi/13182                    ,3
21/02/2018,ACH/GODREJ CONSUMER PROD/45096                    ,1
21/02/2018,ACH/Page Industries Limi/38136                    ,35
22/02/2018,ACH/BSE LIMITED/1839757                           ,5
23/02/2018,ACH/MRF LIMITED/3000000008840                     ,3
23/02/2018,ACH/CARE RATINGS LTD/2938324                      ,12
23/02/2018,ACH/HERO MOTOCORP LTD/2779390                     ,55
26/02/2018,ACH/TI FINANCIAL HOLDING/3317650                  ,1.2
26/02/2018,ACH/BALKRISHNAINDUSTRIES/1626710                  ,3
27/02/2018,ACH/OIL INDIA LIMITED/5589794                     ,98
27/02/2018,ACH/Aegis Logistics Limi/46944                    ,2
27/02/2018,ACH/RURAL ELETRIFICATION/6363295                  ,88.8
28/02/2018,CMS/MUTHOOT FIN LTD/INT DIV 17-18                 ,40
28/02/2018,ACH/AUROBINDO PHARMA LTD/4663367                  ,3
28/02/2018,ACH/BHEL/9828929                                  ,12
28/02/2018,ACH/TUBE INVESTMENTS/5117964                      ,2.5
28/02/2018,ACH/BEL INT DIV 2017-18/IN30267934786175          ,9.6
28/02/2018,ACH/NATIONAL ALUMINIUM C/1483384                  ,160
01/03/2018,ACH/Cummins India Limite/59131                    ,15
05/03/2018,ACH/CARBORUNDUM UNIVERSA/2419034                  ,4
05/03/2018,ACH/BHARAT PETROLEUM COR/BPCLIN30267934786175     ,70
07/03/2018,ACH/Hindustan Petroleum/176205                    ,87
08/03/2018,ACH/NHPC LIMITED/13577915                         ,45
09/03/2018,"ACH/Marico Limited,/55757                         ",18
12/03/2018,ACH/TVS MOTOR COMPANY L/N17060541633              ,5
14/03/2018,ACH/HUDCO LIMITED/000000000000000000000000244755  ,6.6
17/03/2018,ACH/OIL AND NATURAL GAS/0000000000000000000000005 ,56
19/03/2018,ACH/POWER FINANCE CORPOR/6225762                  ,30.6
19/03/2018,ACH/NBCC (INDIA) LIMITED/NBN/INT/2018/107623      ,2.75
23/03/2018,ACH/ENGINEERS INDIA LTD/3749914                   ,18
23/03/2018,ACH/COAL INDIA LTD/000000000000000000000000537649 ,512
26/03/2018,ACH/NTPC LIMITED/2472847                          ,16.93
27/03/2018,ACH/VEDANTA LIMITED/8378293                       ,424
29/03/2018,ACH/HDFC INT DIV 2017-18/000000000000000000000000 ,28
31/03/2018,ACH/DLF LIMITED/9644026                           ,12
31/03/2018,ACH/NLC INDIA LIMITED/NLCIN30267934786175         ,50.76
